Load_Institution_code,Load_Institution_name,Load_Academic_Period,Load_Employee_ID,Load_Program_Level,Load_Area_of_Specialization,Load_Department_name,Load_Employee_Category,Load_Full_Part_Time,Load_Position_Title,Load_Administrative_Position,Load_Maximum_Workload,Load_Research_Workload,Load_Career_Related_Credits,Load_Other_Workload,Load_Teaching_Workload,Load_Exch_In_Out,LOAD_EXCH_INST_CODE,Load_Exch_Institution_Name,Load_Exch_Institution_country_code,Load_Credits_Delivered,Load_Total_Credited_Courses,Load_Total_Non_Credited_Course,Load_Total_Credited_Students,Load_Total_Non_Credited_Students,Load_Department_Joining_Date,Last_Updated
78,American University of Sharjah,202403,EMP4924457,DR,16,Hassan Al Junaibi,A,FT,Applied Architecture,Dean,No,92,75,5,78,OT,1001,American University of Sharjah,379,65,459,65,285,436,2025-08-01,2024-04-21
77,Khalifa University,202402,EMP4570287,DR,16,Majid Patel,A,FT,Principles of Sociology,Dean,Yes,11,89,3,57,OT,1001,Khalifa University,145,18,90,276,370,313,2021-08-05,2025-05-28
82,American University in Dubai,202403,EMP8250530,DR,03,Ahmed Singh,A,FT,Introduction to Sociology,Dean,Yes,95,34,64,11,OT,1001,American University in Dubai,237,28,66,351,157,199,2025-12-07,2023-03-31
83,British University in Dubai,202403,EMP5644223,DR,15,Fatima Al Falasi,A,FT,Applied Medicine,Dean,Yes,45,74,75,77,OT,1001,British University in Dubai,179,3,43,13,223,420,2024-07-10,2020-04-12
80,Abu Dhabi University,202501,EMP8883056,DR,05,Salem Al Mansoori,A,FT,Applied Law,Dean,No,2,93,1,89,OT,1001,Abu Dhabi University,494,49,360,213,257,343,2024-02-06,2023-05-16
77,Khalifa University,202502,EMP3111988,DR,04,Shamma Al Dhaheri,A,FT,Introduction to Civil Engineering,Dean,Yes,80,56,83,3,OT,1001,Khalifa University,438,64,257,70,381,347,2020-05-31,2022-05-04
77,Khalifa University,202403,EMP2603441,DR,51,Mohammed Singh,A,FT,Introduction to Psychology,Dean,No,3,18,50,91,OT,1001,Khalifa University,337,3,192,138,498,248,2023-11-18,2024-04-11
75,United Arab Emirates University,202502,EMP2948597,DR,27,Hessa Singh,A,FT,Advanced Biology,Dean,Yes,98,13,75,30,OT,1001,United Arab Emirates University,458,80,60,16,244,322,2022-08-28,2023-02-15
82,American University in Dubai,202402,EMP8994248,DR,11,Noura Al Mehairbi,A,FT,Advanced English Literature,Dean,No,94,13,33,83,OT,1001,American University in Dubai,264,14,442,45,318,241,2022-08-22,2023-08-06
76,Zayed University,202403,EMP2281309,DR,40,Aisha Al Mansoori,A,FT,Applied Sociology,Dean,Yes,5,96,40,25,OT,1001,Zayed University,262,50,203,162,155,57,2021-01-07,2023-12-18
84,Dubai Medical College,202402,EMP3676676,DR,54,Latifa Ahmed,A,FT,Applied Islamic Studies,Dean,No,39,97,40,40,OT,1001,Dubai Medical College,319,33,267,300,176,494,2025-09-04,2022-06-16
79,University of Sharjah,202401,EMP5751238,DR,03,Hamad Khan,A,FT,Principles of Civil Engineering,Dean,Yes,68,20,56,71,OT,1001,University of Sharjah,212,5,457,485,155,208,2023-05-08,2024-03-26
78,American University of Sharjah,202501,EMP2056595,DR,52,Maryam Al Shamsi,A,FT,Introduction to Islamic Studies,Dean,Yes,1,46,85,98,OT,1001,American University of Sharjah,194,58,433,269,404,348,2021-11-19,2023-08-26
83,British University in Dubai,202503,EMP9256791,DR,27,Noura Singh,A,FT,Advanced Electrical Engineering,Dean,No,62,17,68,80,OT,1001,British University in Dubai,172,45,377,56,422,470,2022-10-05,2024-11-11
84,Dubai Medical College,202503,EMP4258045,DR,05,Saeed Al Nuaimi,A,FT,Advanced Education,Dean,No,32,83,94,19,OT,1001,Dubai Medical College,434,6,308,466,173,193,2025-10-02,2023-10-30
75,United Arab Emirates University,202503,EMP1941995,DR,50,Khalid Al Nuaimi,A,FT,Advanced History,Dean,Yes,33,97,16,40,OT,1001,United Arab Emirates University,323,98,216,202,410,164,2022-11-27,2025-07-31
82,American University in Dubai,202403,EMP2510658,DR,23,Saeed Singh,A,FT,Advanced Finance,Dean,No,49,35,75,73,OT,1001,American University in Dubai,63,80,432,383,227,381,2023-03-05,2023-10-25
83,British University in Dubai,202502,EMP5211780,DR,51,Sara Al Falasi,A,FT,Introduction to Chemistry,Dean,No,56,85,23,10,OT,1001,British University in Dubai,71,33,254,479,375,424,2020-12-07,2020-12-30
81,Ajman University,202503,EMP4485354,DR,24,Latifa Hassan,A,FT,Applied English Literature,Dean,No,33,17,10,56,OT,1001,Ajman University,291,63,221,161,32,379,2023-05-27,2024-05-30
81,Ajman University,202403,EMP8219170,DR,26,Rashid Al Nuaimi,A,FT,Introduction to Civil Engineering,Dean,Yes,27,16,47,77,OT,1001,Ajman University,123,63,173,465,333,352,2024-09-08,2025-03-18
76,Zayed University,202502,EMP8630554,DR,52,Sheikha Al Kaabi,A,FT,Introduction to Law,Dean,Yes,97,57,52,56,OT,1001,Zayed University,371,64,107,68,186,250,2024-10-18,2023-05-28
83,British University in Dubai,202402,EMP1144556,DR,13,Maryam Patel,A,FT,Advanced Mechanical Engineering,Dean,Yes,56,72,81,86,OT,1001,British University in Dubai,362,84,271,153,441,359,2025-05-09,2023-11-04
82,American University in Dubai,202403,EMP8749495,DR,50,Hamad Singh,A,FT,Principles of Biology,Dean,Yes,3,87,21,76,OT,1001,American University in Dubai,138,10,153,438,373,442,2022-01-06,2020-08-08
77,Khalifa University,202402,EMP8453084,DR,40,Majid Ahmed,A,FT,Advanced Pharmacy,Dean,Yes,100,21,54,27,OT,1001,Khalifa University,344,46,474,161,496,285,2021-04-24,2024-07-24
82,American University in Dubai,202503,EMP4982738,DR,13,Rashid Patel,A,FT,Advanced Accounting,Dean,Yes,34,87,36,66,OT,1001,American University in Dubai,161,65,103,448,331,66,2020-12-19,2022-08-15
81,Ajman University,202403,EMP6468660,DR,05,Shamma Singh,A,FT,Introduction to Computer Science,Dean,No,36,36,82,87,OT,1001,Ajman University,414,99,26,497,122,162,2022-08-02,2020-03-13
78,American University of Sharjah,202502,EMP1056214,DR,11,Rashid Hassan,A,FT,Introduction to Psychology,Dean,Yes,32,65,53,50,OT,1001,American University of Sharjah,399,63,419,432,413,170,2020-03-30,2021-08-08
78,American University of Sharjah,202501,EMP8228078,DR,09,Majid Al Dhaheri,A,FT,Advanced Medicine,Dean,Yes,74,90,70,82,OT,1001,American University of Sharjah,419,1,224,253,120,131,2022-03-09,2021-12-27
83,British University in Dubai,202501,EMP6940966,DR,26,Sara Al Mazrouei,A,FT,Principles of Electrical Engineering,Dean,Yes,62,72,26,98,OT,1001,British University in Dubai,239,9,476,397,431,311,2020-09-25,2020-07-23
