Enroll_Institution_Code,Enroll_Institution_Name,Enroll_Academic_Period,Enroll_Student_ID,Enroll_Al_Ethbara,Enroll_Emirates_ID,Enroll_Passport_Number,Enroll_Missing_EID,Enroll_Family_Book_Number,Enroll_Family_Number,Enroll_City_Number,Enroll_Student_Name_English,Enroll_Student_Name_Arabic,Enroll_Gender,Enroll_Student_DOB,Enroll_Student_Email_Address,Enroll_Student_Mobile_Number,Enroll_Health_Fitness_Certificate,Enroll_Special_Needs,Enroll_Marital_Status,Enroll_Nationality,Enroll_Nationality_of_Mother,Enroll_Home_Emirate,Enroll_Student_Campus,Enroll_Student_Type,Enroll_1st_Academic_Period,Enroll_Student_Level,Enroll_Student_Degree,Enroll_Area_of_Specialization,Enroll_Student_Major,Enroll_Major_CIP,Enroll_Minor,Enroll_Program_Code,Enroll_Mode_of_Study,Enroll_Employment_Status,Enroll_Employment_Sector,Enroll_Employment_Position,Enroll_Required_Academic_Period,Enroll_Required_Credits_Graduation,Enroll_Current_Registered_Credits,Enroll_Current_Pre-req_Credits,Enroll_Total_Credits_Registered,Enroll_Total_Credits_Cumulated,Enroll_GPA_Cumulative,Enroll_Transfer_Institution,Enroll_Transfer_Credits_Cumulative,Enroll_Language_Test_Name,Enroll_Language_Test_Date,Enroll_Language_Test_Score,Enroll_Standardized_Test_Name,Enroll_Standardized_Test_Score,Enroll_High_School_Country,Enroll_High_School_System,Enroll_High_School_Score,Enroll_Completion_Year_HSC,Enroll_High_School_Equivalency_Indicator,Enroll_HighSchool_Equivalency_Number,Enroll_12th_Grade_stream,Enroll_Last_completed_HE_Degree,Enroll_Qualifying_institution_Name,Enroll_Qualifying_institution_Country,Enroll_Qualifying_institution_Code,Enroll_Last_completed_HE_CGPA,Enroll_Last_completed_HE_Year,Enroll_Last_completed_HE_Equivalency_Indicator,Enroll_Last_HE_Equivalency_Number,Enroll_Outgoing_Exchange_Indicator,Enroll_Incoming_Exchange_Indicator,Enroll_Exchange_University_Code,Enroll_dual,Last_Updated
81,Ajman University,202403,STU202512355,58132,784199812516920,N94592896,Visiting,35,28,Ras Al Khaimah,Omar Al Junaibi,محمد حسن,M,1979-09-26,noura.al.junaibi597@institution.ac.ae,+9710506941817,Y,VI,In Progress,AE,BD,Umm Al Quwain,DB,Full-time,202403,FR,DIP,16,Software Development,26,Architecture,1.DR.10001,FT,Pending,Private,Assistant Engineer,202403,53,12,90,129,149,2.88,Abu Dhabi University,45,Majid Al Shamsi,2024-10-08,98.62,Saeed Khan,66.09,244,BR,85.08,2024,Y,E334355,71.43,MA,Ajman University,87,81,2.47,2024,N,xxxxxxxxx-xxxxxxx,Yes,Yes,100,Y,2020-02-03
78,American University of Sharjah,202501,STU202168232,58132,784199030143651,N94592896,Visiting,84,18,Sharjah,Sara Patel,عائشة سالم,F,1982-06-07,maitha.ahmed687@institution.ac.ae,+9710506308634,Y,VI,Active,IN,IN,Ajman,DB,Full-time,202501,FR,MBA,54,Software Development,11,Architecture,1.DR.10001,FT,Pending,Private,Assistant Engineer,202501,98,68,52,475,121,3.44,Abu Dhabi University,77,Hessa Al Kaabi,2024-05-13,90.58,Hessa Khan,73.36,48,BR,86.48,2025,Y,E334355,91.42,MBA,American University of Sharjah,41,78,2.85,2024,N,xxxxxxxxx-xxxxxxx,Yes,No,25,Y,2020-02-23
84,Dubai Medical College,202402,STU202010464,58132,784199357050432,N94592896,Visiting,17,93,Abu Dhabi,Abdullah Al Kaabi,حسن عبدالله,M,1999-11-24,hassan.al.dhaheri629@institution.ac.ae,+9710526211758,Y,VI,In Progress,KW,QA,Ajman,DB,Full-time,202402,FR,BS,51,Software Development,16,Architecture,1.DR.10001,FT,Inactive,Private,Assistant Engineer,202402,4,66,58,473,160,3.28,Abu Dhabi University,83,Omar Al Mansoori,2020-06-20,85.51,Omar Al Shamsi,88.81,454,BR,68.69,2024,Y,E334355,68.62,BA,Dubai Medical College,163,84,3.76,2025,N,xxxxxxxxx-xxxxxxx,Yes,No,83,Y,2024-03-07
76,Zayed University,202502,STU202451832,58132,784200397057431,N94592896,Visiting,100,79,Dubai,Ahmed Al Mehairbi,علي خالد,F,1981-07-14,abdullah.al.mehairbi513@institution.ac.ae,+9710588692912,Y,VI,Active,OM,GB,Dubai,DB,Online,202502,FR,PhD,03,Software Development,15,Architecture,1.DR.10001,FT,Completed,Private,Assistant Engineer,202502,47,41,24,293,284,3.99,Abu Dhabi University,50,Noura Al Dhaheri,2020-04-28,70.2,Hessa Al Mehairbi,86.85,24,BR,94.39,2024,Y,E334355,60.13,BA,Zayed University,291,76,3.19,2024,N,xxxxxxxxx-xxxxxxx,No,Yes,9,Y,2020-11-07
75,United Arab Emirates University,202401,STU202464297,58132,784199880704611,N94592896,Visiting,28,36,Fujairah,Mohammed Ahmed,شما سلطان,F,1980-05-10,ali.singh4@institution.ac.ae,+9710544852417,Y,VI,Completed,BH,JO,Abu Dhabi,DB,Online,202401,FR,MA,51,Software Development,13,Architecture,1.DR.10001,FT,Completed,Private,Assistant Engineer,202401,74,82,44,482,17,3.93,Abu Dhabi University,2,Noor Al Dhaheri,2025-03-12,97.07,Shamma Singh,66.66,208,BR,96.1,2024,Y,E334355,60.27,MBA,United Arab Emirates University,446,75,2.95,2024,N,xxxxxxxxx-xxxxxxx,No,Yes,29,Y,2020-03-04
75,United Arab Emirates University,202501,STU202056575,58132,784200131204900,N94592896,Visiting,58,29,Ajman,Salem Al Mehairbi,علي خالد,M,1996-03-06,noor.ahmed543@institution.ac.ae,+9710553085197,Y,VI,Completed,LB,BH,Umm Al Quwain,DB,Full-time,202501,FR,BA,11,Software Development,23,Architecture,1.DR.10001,FT,Pending,Private,Assistant Engineer,202501,66,20,90,175,61,2.47,Abu Dhabi University,22,Salem Al Junaibi,2024-12-30,62.6,Rashid Khan,74.61,390,BR,77.07,2025,Y,E334355,67.68,BA,United Arab Emirates University,367,75,3.51,2025,N,xxxxxxxxx-xxxxxxx,Yes,No,32,Y,2025-12-13
79,University of Sharjah,202503,STU202427658,58132,784199230795792,N94592896,Visiting,42,59,Ajman,Noor Hassan,شما سلطان,F,1981-08-01,sultan.ahmed629@institution.ac.ae,+9710543073304,Y,VI,Inactive,AE,GB,Dubai,DB,Part-time,202503,FR,PhD,27,Software Development,05,Architecture,1.DR.10001,FT,Inactive,Private,Assistant Engineer,202503,10,65,86,436,37,3.11,Abu Dhabi University,12,Sara Hassan,2024-06-04,65.41,Latifa Al Nuaimi,81.41,468,BR,72.7,2024,Y,E334355,82.26,PhD,University of Sharjah,109,79,3.94,2024,N,xxxxxxxxx-xxxxxxx,No,No,24,Y,2025-08-07
82,American University in Dubai,202503,STU202515367,58132,784200341861474,N94592896,Visiting,45,52,Umm Al Quwain,Salem Al Dhaheri,عائشة سالم,F,1972-05-12,maitha.al.dhaheri461@institution.ac.ae,+9710557287862,Y,VI,Completed,AE,YE,Ras Al Khaimah,DB,Online,202503,FR,MBA,52,Software Development,26,Architecture,1.DR.10001,FT,Inactive,Private,Assistant Engineer,202503,48,52,70,207,21,3.3,Abu Dhabi University,29,Fatima Al Shamsi,2023-08-29,87.01,Aisha Al Dhaheri,60.86,456,BR,71.57,2024,Y,E334355,72.08,MS,American University in Dubai,87,82,3.27,2025,N,xxxxxxxxx-xxxxxxx,No,Yes,23,Y,2024-08-24
84,Dubai Medical College,202503,STU202576495,58132,784199435695961,N94592896,Visiting,13,31,Dubai,Fatima Al Nuaimi,مريم أحمد,M,1995-10-18,omar.al.nuaimi791@institution.ac.ae,+9710507638612,Y,VI,Completed,YE,OM,Ras Al Khaimah,DB,Part-time,202503,FR,CRT,27,Software Development,27,Architecture,1.DR.10001,FT,Pending,Private,Assistant Engineer,202503,82,70,26,438,92,3.99,Abu Dhabi University,24,Majid Singh,2023-02-15,91.09,Hamad Al Falasi,78.04,155,BR,97.57,2024,Y,E334355,97.1,BA,Dubai Medical College,309,84,3.77,2024,N,xxxxxxxxx-xxxxxxx,No,No,22,Y,2025-08-30
84,Dubai Medical College,202501,STU202466120,58132,784199344828509,N94592896,Visiting,26,76,Umm Al Quwain,Shamma Hassan,علي خالد,F,1980-07-18,sultan.al.shamsi998@institution.ac.ae,+9710551100218,Y,VI,Completed,QA,SY,Abu Dhabi,DB,Online,202501,FR,DIP,24,Software Development,54,Architecture,1.DR.10001,FT,Pending,Private,Assistant Engineer,202501,30,95,84,433,290,3.24,Abu Dhabi University,41,Noor Al Zaabi,2023-08-12,89.62,Aisha Al Mazrouei,64.56,123,BR,67.0,2025,Y,E334355,70.65,MBA,Dubai Medical College,484,84,2.57,2025,N,xxxxxxxxx-xxxxxxx,No,Yes,35,Y,2025-01-31
