Internship_Institution_Code,Internship_Institution_Name,Internship_Academic_Period,Internship_Student_ID,Internship_Emirates_ID,Internship_Passport_Number,Internship_Student_Name_English,Internship_Student_Name_Arabic,Internship_Gender,Internship_Student_DOB,Internship_Nationality,Internship_Student_Level,Internship_Area_of_Specialization,Internship_Program_Code,Internship_Organization,Internship_Sector,Internship_Industry,Internship_Duration,Internship_time,Internship_type,Internship_pay,Internship_country,Internship_credits,Internship_satisfaction,Last_Updated
81,Ajman University,202501,STU202015525,784199761291695,N94592896,Ahmed Al Mazrouei,شما سلطان,M,1979-05-13,PK,FR,09,1.DR.10001,ADIB,Private,1,98,83,Online,P,241,FC,10,2022-08-16
83,British University in Dubai,202502,STU202115845,784199360603527,N94592896,Hamad Al Shamsi,محمد حسن,M,1970-01-15,YE,FR,52,1.DR.10001,ADIB,Private,1,58,97,Full-time,P,267,FC,85,2021-08-24
83,British University in Dubai,202402,STU202321930,784199873974094,N94592896,Hessa Al Nuaimi,علي خالد,F,1978-01-24,BD,FR,26,1.DR.10001,ADIB,Private,1,9,32,Part-time,P,199,FC,81,2025-03-02
76,Zayed University,202501,STU202531589,784200430415569,N94592896,Saeed Al Mansoori,نورة سعيد,F,1977-03-26,SY,FR,16,1.DR.10001,ADIB,Private,1,36,82,Part-time,P,159,FC,26,2024-08-13
81,Ajman University,202403,STU202284996,784200237204880,N94592896,Maryam Hassan,مريم أحمد,M,1979-12-15,PS,FR,26,1.DR.10001,ADIB,Private,1,54,52,Part-time,P,355,FC,60,2025-10-23
84,Dubai Medical College,202401,STU202241299,784199463667277,N94592896,Hessa Khan,خالد راشد,F,1991-04-03,US,FR,01,1.DR.10001,ADIB,Private,1,98,29,Full-time,P,458,FC,41,2020-01-28
82,American University in Dubai,202401,STU202054126,784200095664930,N94592896,Majid Khan,شما سلطان,M,1983-05-29,YE,FR,40,1.DR.10001,ADIB,Private,1,76,69,Full-time,P,152,FC,47,2025-05-02
79,University of Sharjah,202502,STU202279204,784199567261982,N94592896,Fatima Al Mazrouei,مريم أحمد,F,1972-10-12,YE,FR,05,1.DR.10001,ADIB,Private,1,71,93,Online,P,456,FC,43,2025-08-02
84,Dubai Medical College,202401,STU202482035,784200319021212,N94592896,Abdullah Al Junaibi,شما سلطان,M,1994-04-14,YE,FR,03,1.DR.10001,ADIB,Private,1,43,33,Part-time,P,165,FC,28,2023-02-20
83,British University in Dubai,202503,STU202474644,784200599725921,N94592896,Mohammed Al Mansoori,شما سلطان,M,1981-01-29,KW,FR,23,1.DR.10001,ADIB,Private,1,52,46,Online,P,62,FC,60,2022-01-10
