SR_Institution_Code,SR_Institution_Name,SR_Academic_Period,SR_Student_ID,SR_Student_Name_English,SR_Student_Type,SR_1st_Academic_Period,SR_Student_Level,SR_Student_Degree,SR_Area_of_Specialization,SR_Student_Major,SR_Minor,SR_Program_Code,SR_Mode_of_Study,SR_Type_of_Research,SR_scholarly,SR_Intl_partner,SR_Intl_Super_Name,SR_Research_Topic,SR_Research_Area,SR_ORCID,Impact_ indexed publication,Impact_Registered_IP,Impact_Competitions,Impact_scholarship,Impact_policy,Impact_Govt,Impact_revenue,Impact_Spinoff,Impact_public,Impact_education,Impact_media,Last_Updated
81,Ajman University,202502,STU202538721,Noor Al Mehairbi,Full-time,202502,FR,PhD,43,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Sheikha Al Dhaheri,Efficacy and Differentiation of Instruction,10,5467-7762-4232-2345,Y,N,Y,6116256.94,C,N,8391201.68,N,N,N,N,2022-03-29
82,American University in Dubai,202401,STU202442405,Majid Al Mazrouei,Full-time,202401,FR,MA,09,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Maitha Al Mazrouei,Efficacy and Differentiation of Instruction,12,8999-3016-4703-2496,Y,N,Y,6144600.53,C,N,2219958.93,N,N,N,N,2021-06-24
82,American University in Dubai,202501,STU202060363,Hessa Al Shamsi,Full-time,202501,FR,MS,14,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Latifa Hassan,Efficacy and Differentiation of Instruction,78,3483-5278-3360-1816,Y,N,Y,7674915.82,C,N,3306248.9,N,N,N,N,2025-09-03
82,American University in Dubai,202501,STU202293778,Salem Al Junaibi,Full-time,202501,FR,MA,03,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Hessa Al Dhaheri,Efficacy and Differentiation of Instruction,56,9316-7550-7426-1093,Y,N,Y,3283627.68,C,N,7082304.06,N,N,N,N,2020-04-10
78,American University of Sharjah,202503,STU202061007,Abdullah Al Shamsi,Part-time,202503,FR,MS,05,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Sultan Hassan,Efficacy and Differentiation of Instruction,3,4761-1230-9324-1296,Y,N,Y,1756417.08,C,N,2600205.14,N,N,N,N,2021-12-04
80,Abu Dhabi University,202501,STU202454469,Ali Ahmed,Online,202501,FR,BS,05,Software Development,Architecture,1.DR.10001,FT,Part-time,FR,Harvard University,Rashid Khan,Efficacy and Differentiation of Instruction,100,5189-6371-3084-3095,Y,N,Y,1288774.53,C,N,1949328.78,N,N,N,N,2020-03-19
82,American University in Dubai,202501,STU202410545,Ali Al Mansoori,Full-time,202501,FR,MS,54,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Saeed Khan,Efficacy and Differentiation of Instruction,75,3314-3741-8419-3916,Y,N,Y,6286187.09,C,N,2759329.04,N,N,N,N,2024-04-24
80,Abu Dhabi University,202403,STU202487567,Latifa Khan,Part-time,202403,FR,MA,50,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Shamma Hassan,Efficacy and Differentiation of Instruction,86,1204-2663-9695-6006,Y,N,Y,5346839.75,C,N,496641.79,N,N,N,N,2020-12-11
81,Ajman University,202403,STU202165896,Majid Al Nuaimi,Part-time,202403,FR,DIP,15,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Salem Ahmed,Efficacy and Differentiation of Instruction,34,2676-6169-3909-3114,Y,N,Y,2908037.87,C,N,5380969.68,N,N,N,N,2024-03-01
84,Dubai Medical College,202401,STU202518811,Fatima Hassan,Full-time,202401,FR,BA,51,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Maitha Al Junaibi,Efficacy and Differentiation of Instruction,28,2965-2546-5313-3416,Y,N,Y,471261.19,C,N,9344496.85,N,N,N,N,2020-05-04
