SLC_Institution_Code,SLC_Institution_Name,SLC_Academic_Period,SLC_Student_ID,SLC_Student_Level,SLC_Student_Degree,SLC_Program_Code,SLC_LC_Name,SLC_Org_name,SLC_Org_website,SLC_status,SLC_date,SLC_LC_number,SLC_comments,SLC_submission_term,Last_Updated
83,British University in Dubai,202502,STU202431781,FR,BA,1.DR.10001,Omar Hassan,Shamma Singh,https://www.institution.ac.ae/research,Inactive,2025-05-15,Default,Primary,85,2020-04-05
78,American University of Sharjah,202501,STU202195636,FR,BS,1.DR.10001,Sheikha Al Junaibi,Sara Patel,https://www.institution.ac.ae/faculty,Completed,2020-06-29,Regular,Standard,77,2024-10-07
76,Zayed University,202501,STU202468704,FR,MS,1.DR.10001,Sultan Al Dhaheri,Sara Al Shamsi,https://www.institution.ac.ae/research,Active,2022-10-23,Primary,Primary,99,2022-11-01
79,University of Sharjah,202402,STU202556909,FR,MA,1.DR.10001,Mohammed Patel,Fatima Al Junaibi,https://www.institution.ac.ae/programs,Pending,2023-02-27,Regular,Regular,89,2023-10-25
81,Ajman University,202503,STU202557915,FR,BS,1.DR.10001,Shamma Singh,Sultan Al Shamsi,https://www.institution.ac.ae/faculty,Inactive,2023-04-03,Standard,Default,94,2021-05-23
82,American University in Dubai,202502,STU202476361,FR,PhD,1.DR.10001,Sheikha Al Falasi,Salem Al Falasi,https://www.institution.ac.ae/faculty,In Progress,2020-06-21,Standard,Regular,11,2023-09-19
78,American University of Sharjah,202503,STU202425959,FR,DIP,1.DR.10001,Ahmed Al Mazrouei,Majid Al Dhaheri,https://www.institution.ac.ae/faculty,Active,2021-06-05,Standard,Primary,63,2020-08-24
79,University of Sharjah,202403,STU202524825,FR,PhD,1.DR.10001,Sheikha Patel,Majid Al Mazrouei,https://www.institution.ac.ae/programs,Inactive,2025-04-07,Primary,Regular,71,2024-01-03
84,Dubai Medical College,202403,STU202582826,FR,CRT,1.DR.10001,Khalid Al Falasi,Mohammed Al Zaabi,https://www.institution.ac.ae/research,In Progress,2024-01-03,Standard,Standard,12,2023-09-15
75,United Arab Emirates University,202503,STU202453487,FR,MBA,1.DR.10001,Majid Al Kaabi,Maitha Al Dhaheri,https://www.institution.ac.ae/research,Pending,2020-07-17,Default,Normal,65,2020-03-13
80,Abu Dhabi University,202503,STU202164755,FR,DIP,1.DR.10001,Salem Al Mansoori,Noura Ahmed,https://www.institution.ac.ae/faculty,Inactive,2025-10-27,Regular,Primary,32,2020-08-22
77,Khalifa University,202501,STU202346604,FR,BS,1.DR.10001,Hassan Singh,Ahmed Al Nuaimi,https://www.institution.ac.ae/faculty,Pending,2021-04-02,Default,Primary,17,2020-03-14
81,Ajman University,202403,STU202434900,FR,BA,1.DR.10001,Sheikha Hassan,Sultan Al Shamsi,https://www.institution.ac.ae/research,Completed,2022-05-21,Normal,Regular,2,2021-11-15
75,United Arab Emirates University,202402,STU202117754,FR,MBA,1.DR.10001,Omar Al Junaibi,Sheikha Khan,https://www.institution.ac.ae/programs,In Progress,2023-10-01,Default,Regular,44,2021-09-02
77,Khalifa University,202403,STU202577695,FR,PhD,1.DR.10001,Hessa Al Nuaimi,Aisha Al Mansoori,https://www.institution.ac.ae/faculty,In Progress,2022-02-26,Default,Standard,71,2022-04-01
80,Abu Dhabi University,202401,STU202213293,FR,DIP,1.DR.10001,Maitha Patel,Abdullah Al Junaibi,https://www.institution.ac.ae/programs,In Progress,2020-03-08,Standard,Primary,60,2023-08-20
76,Zayed University,202403,STU202390846,FR,PhD,1.DR.10001,Maitha Al Nuaimi,Abdullah Al Shamsi,https://www.institution.ac.ae/programs,Completed,2021-06-11,Regular,Primary,99,2024-02-13
76,Zayed University,202402,STU202231168,FR,DIP,1.DR.10001,Rashid Khan,Hessa Al Shamsi,https://www.institution.ac.ae/faculty,Inactive,2023-10-13,Normal,Regular,49,2021-12-14
75,United Arab Emirates University,202401,STU202532950,FR,CRT,1.DR.10001,Fatima Al Nuaimi,Sara Al Nuaimi,https://www.institution.ac.ae/research,Completed,2021-11-02,Standard,Normal,53,2021-02-17
