Grad_Institution_Code,Grad_Institution_Name,Grad_Academic_Period,Grad_Student_ID,Grad_Al_Ethbara,Grad_Emirates_ID,Grad_Missing_EID,Grad_Passport_Number,Grad_Student_Name_English,Grad_Student_Name_Arabic,Grad_Gender,Grad_Student_DOB,Grad_Student_Email_Address,Grad_Student_Mobile_Number,Grad_Health_Fitness_Certificate,Grad_Marital_Status_Code,Grad_Nationality,Grad_Nationality_of_Mother,Grad_Home_Emirate,Grad_Student_Campus,Grad_1st_Academic_Period,Grad_Student_Degree,Grad_Area_of_Specialization,Grad_Student_Major,Grad_Major_CIP,Grad_Minor,Grad_Program_Code,Grad_Mode_of_Study,Grad_Master_Thesis_Title,Grad_PhD_Dissertation_Title,Grad_Total_Credits_Cumulated,Grad_GPA_Cumulative,Grad_Total_Academic_Periods_Regular,Grad_Total_Academic_Periods_Supplementary,Grad_Submission_Term,Grad_LC,Grad_Workplacement,Last_Updated
84,Dubai Medical College,202502,STU202372237,100278,784199761825728,Marsoom,N94592896,Hessa Singh,عائشة سالم,M,1975-04-13,sultan.hassan888@institution.ac.ae,+9710506425605,Y,Pending,US,SA,Abu Dhabi,AD,202502,DIP,51,Software Development,42,Architecture,1.DR.10001,FT,Applied Architecture,Applied Civil Engineering,286,2.03,202502,202502,202403,Y,Y,2021-09-16
84,Dubai Medical College,202501,STU202210963,100278,784200488785277,Marsoom,N94592896,Majid Al Kaabi,شما سلطان,F,1983-06-08,amna.al.nuaimi601@institution.ac.ae,+9710583701710,Y,Inactive,JO,AE,Sharjah,AD,202501,MS,01,Software Development,23,Architecture,1.DR.10001,FT,Advanced Finance,Advanced Computer Science,164,3.25,202501,202501,202403,Y,Y,2025-09-04
83,British University in Dubai,202403,STU202596609,100278,784199929002233,Marsoom,N94592896,Aisha Al Mazrouei,مريم أحمد,M,1997-06-30,hassan.patel834@institution.ac.ae,+9710527635041,Y,In Progress,YE,BD,Umm Al Quwain,AD,202403,PhD,43,Software Development,04,Architecture,1.DR.10001,FT,Introduction to Education,Introduction to Civil Engineering,305,3.57,202403,202403,202403,Y,Y,2024-11-05
75,United Arab Emirates University,202501,STU202175925,100278,784199877394551,Marsoom,N94592896,Hassan Ahmed,فاطمة علي,M,2003-06-12,hamad.al.shamsi467@institution.ac.ae,+9710582479272,Y,Completed,YE,SY,Umm Al Quwain,AD,202501,BS,24,Software Development,13,Architecture,1.DR.10001,FT,Principles of Business Administration,Principles of Psychology,261,3.52,202501,202501,202403,Y,Y,2023-07-02
79,University of Sharjah,202501,STU202367051,100278,784199830530521,Marsoom,N94592896,Maitha Al Kaabi,نورة سعيد,F,1990-06-10,sara.al.kaabi690@institution.ac.ae,+9710564753798,Y,In Progress,LB,QA,Fujairah,AD,202501,MA,09,Software Development,42,Architecture,1.DR.10001,FT,Introduction to Islamic Studies,Applied Electrical Engineering,227,2.86,202501,202501,202403,Y,Y,2025-05-24
79,University of Sharjah,202503,STU202428092,100278,784199448428671,Marsoom,N94592896,Latifa Al Dhaheri,أحمد محمد,M,2001-03-22,noor.singh268@institution.ac.ae,+9710563216594,Y,Inactive,LB,JO,Dubai,AD,202503,MA,11,Software Development,04,Architecture,1.DR.10001,FT,Applied Education,Advanced Nursing,377,3.17,202503,202503,202403,Y,Y,2020-08-12
76,Zayed University,202502,STU202216655,100278,784200490006882,Marsoom,N94592896,Maitha Al Kaabi,شما سلطان,M,1970-07-14,abdullah.al.mansoori382@institution.ac.ae,+9710581370541,Y,Inactive,IN,QA,Abu Dhabi,AD,202502,CRT,23,Software Development,05,Architecture,1.DR.10001,FT,Introduction to Civil Engineering,Introduction to Accounting,19,3.54,202502,202502,202403,Y,Y,2022-09-11
80,Abu Dhabi University,202402,STU202132248,100278,784199326630768,Marsoom,N94592896,Ali Al Shamsi,محمد حسن,M,1974-09-06,hamad.al.shamsi518@institution.ac.ae,+9710547712046,Y,In Progress,PS,IN,Dubai,AD,202402,CRT,54,Software Development,14,Architecture,1.DR.10001,FT,Advanced Accounting,Introduction to Marketing,440,3.06,202402,202402,202403,Y,Y,2021-07-31
81,Ajman University,202501,STU202574215,100278,784199693892021,Marsoom,N94592896,Maryam Al Zaabi,خالد راشد,M,1973-08-16,hassan.al.mazrouei470@institution.ac.ae,+9710565918388,Y,Pending,YE,PK,Dubai,AD,202501,BA,23,Software Development,40,Architecture,1.DR.10001,FT,Advanced Economics,Principles of Medicine,284,2.59,202501,202501,202403,Y,Y,2023-01-23
84,Dubai Medical College,202402,STU202088291,100278,784199442352470,Marsoom,N94592896,Hessa Al Mehairbi,عائشة سالم,F,1986-01-12,saeed.singh273@institution.ac.ae,+9710586397957,Y,Pending,KW,LB,Dubai,AD,202402,MS,24,Software Development,24,Architecture,1.DR.10001,FT,Advanced Law,Applied Pharmacy,499,2.95,202402,202402,202403,Y,Y,2022-10-02
