Grad_Institution_Code,Grad_Institution_Name,Grad_Academic_Period,Grad_Student_ID,Grad_Al_Ethbara,Grad_Emirates_ID,Grad_Missing_EID,Grad_Passport_Number,Grad_Student_Name_English,Grad_Student_Name_Arabic,Grad_Gender,Grad_Student_DOB,Grad_Student_Email_Address,Grad_Student_Mobile_Number,Grad_Health_Fitness_Certificate,Grad_Marital_Status_Code,Grad_Nationality,Grad_Nationality_of_Mother,Grad_Home_Emirate,Grad_Student_Campus,Grad_1st_Academic_Period,Grad_Student_Degree,Grad_Area_of_Specialization,Grad_Student_Major,Grad_Major_CIP,Grad_Minor,Grad_Program_Code,Grad_Mode_of_Study,Grad_Master_Thesis_Title,Grad_PhD_Dissertation_Title,Grad_Total_Credits_Cumulated,Grad_GPA_Cumulative,Grad_Total_Academic_Periods_Regular,Grad_Total_Academic_Periods_Supplementary,Grad_Submission_Term,Grad_LC,Grad_Workplacement,Last_Updated
75,United Arab Emirates University,202403,STU202170168,100278,784199544295701,Marsoom,N94592896,Hassan Al Kaabi,حسن عبدالله,F,1996-08-05,mohammed.al.mehairbi722@institution.ac.ae,+9710528485264,Y,Active,CA,BD,Abu Dhabi,AD,202403,PhD,54,Software Development,11,Architecture,1.DR.10001,FT,Principles of English Literature,Principles of Pharmacy,68,2.29,202403,202403,202403,Y,Y,2020-12-02
76,Zayed University,202402,STU202560029,100278,784199523256784,Marsoom,N94592896,Hassan Al Mansoori,علي خالد,M,2000-03-29,fatima.patel651@institution.ac.ae,+9710501804404,Y,Pending,KW,US,Ras Al Khaimah,AD,202402,BS,43,Software Development,40,Architecture,1.DR.10001,FT,Principles of Finance,Principles of Psychology,133,3.24,202402,202402,202403,Y,Y,2020-10-23
83,British University in Dubai,202403,STU202536154,100278,784200363850539,Marsoom,N94592896,Amna Al Dhaheri,فاطمة علي,F,2000-01-23,abdullah.khan651@institution.ac.ae,+9710568295597,Y,Inactive,QA,PS,Dubai,AD,202403,BS,51,Software Development,15,Architecture,1.DR.10001,FT,Introduction to Education,Principles of Architecture,86,2.85,202403,202403,202403,Y,Y,2022-08-27
82,American University in Dubai,202501,STU202364460,100278,784200426821042,Marsoom,N94592896,Ali Patel,حسن عبدالله,M,1972-07-28,latifa.al.kaabi193@institution.ac.ae,+9710568341651,Y,Completed,BH,SY,Dubai,AD,202501,BA,24,Software Development,05,Architecture,1.DR.10001,FT,Introduction to Electrical Engineering,Principles of Biology,409,3.43,202501,202501,202403,Y,Y,2023-02-18
75,United Arab Emirates University,202501,STU202588477,100278,784200094063882,Marsoom,N94592896,Aisha Al Shamsi,حسن عبدالله,M,1970-07-29,noura.al.mehairbi882@institution.ac.ae,+9710523883525,Y,Completed,LB,US,Dubai,AD,202501,MA,16,Software Development,01,Architecture,1.DR.10001,FT,Principles of Civil Engineering,Principles of Architecture,114,2.77,202501,202501,202403,Y,Y,2023-06-11
80,Abu Dhabi University,202402,STU202184339,100278,784199167411621,Marsoom,N94592896,Rashid Al Mansoori,حسن عبدالله,M,1994-12-05,mohammed.al.junaibi426@institution.ac.ae,+9710583145536,Y,Completed,PK,EG,Dubai,AD,202402,MS,54,Software Development,43,Architecture,1.DR.10001,FT,Introduction to Nursing,Applied Civil Engineering,460,3.71,202402,202402,202403,Y,Y,2025-02-25
82,American University in Dubai,202501,STU202091786,100278,784199276647181,Marsoom,N94592896,Saeed Ahmed,نورة سعيد,F,1999-02-07,ahmed.al.mazrouei241@institution.ac.ae,+9710544370171,Y,Active,QA,PS,Dubai,AD,202501,BS,51,Software Development,01,Architecture,1.DR.10001,FT,Applied Electrical Engineering,Principles of Finance,493,2.03,202501,202501,202403,Y,Y,2020-10-11
77,Khalifa University,202501,STU202015951,100278,784200547018772,Marsoom,N94592896,Hessa Khan,فاطمة علي,F,2001-11-09,maitha.al.dhaheri570@institution.ac.ae,+9710547355843,Y,In Progress,QA,QA,Sharjah,AD,202501,BS,11,Software Development,40,Architecture,1.DR.10001,FT,Advanced Education,Advanced Finance,302,3.09,202501,202501,202403,Y,Y,2020-06-29
77,Khalifa University,202403,STU202024744,100278,784200436450576,Marsoom,N94592896,Sultan Al Dhaheri,مريم أحمد,F,1994-06-24,sultan.al.shamsi637@institution.ac.ae,+9710583303557,Y,Inactive,CA,OM,Umm Al Quwain,AD,202403,PhD,09,Software Development,54,Architecture,1.DR.10001,FT,Applied Economics,Advanced Sociology,168,2.11,202403,202403,202403,Y,Y,2021-12-08
81,Ajman University,202402,STU202279470,100278,784199480737470,Marsoom,N94592896,Hamad Al Mazrouei,عائشة سالم,M,1986-09-20,aisha.patel773@institution.ac.ae,+9710542316268,Y,In Progress,PS,LB,Sharjah,AD,202402,BA,13,Software Development,03,Architecture,1.DR.10001,FT,Applied Education,Principles of Electrical Engineering,214,2.5,202402,202402,202403,Y,Y,2020-12-11
