Course_Institution_Code,Course_Institution_Name,Course_Program_Name,Course_Academic_Period,Course_Name,Course_code,Course_CRN,Course_desc,Course_Degree,Course_credit,Course_mandatory,Course_credit_hours,Course_contact_hours,Course_lab,Course_mode,Course_Grade,Course_Faculty_member,Course_CoDev,Course_CoDev_Percent,Course_CoDeliver,Course_CoDeliver_percent,Course_eval_score,Student_Numbers,Last_Updated
76,Zayed University,PhD in Physics,202502,Marketing Management,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",DIP,NC,M,43,+9710545188047,58,ON,87.21,Yes,Y,58.62,Y,70.65,72.7,16,2021-02-15
79,University of Sharjah,MBA in Business Administration,202503,Operating Systems,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",BA,NC,M,95,+9710523998302,38,ON,75.56,No,Y,76.66,Y,84.92,81.93,15,2025-12-11
80,Abu Dhabi University,MS in Pharmacy,202401,Machine Learning,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",MBA,NC,M,1,+9710522447689,11,ON,76.01,No,Y,98.55,Y,95.46,90.58,36,2024-11-09
84,Dubai Medical College,PhD in History,202502,Corporate Finance,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",PhD,NC,M,94,+9710544917721,6,ON,72.15,Yes,Y,88.62,Y,71.29,76.4,94,2025-07-18
82,American University in Dubai,DIP in Chemistry,202403,Project Management,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",MA,NC,M,62,+9710521503687,14,ON,84.37,Yes,Y,55.66,Y,57.01,61.15,58,2021-11-01
76,Zayed University,DIP in Architecture,202502,Data Structures,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",CRT,NC,M,39,+9710549136180,78,ON,82.43,No,Y,77.63,Y,96.39,61.69,5,2021-11-17
83,British University in Dubai,BS in Sociology,202401,Introduction to Computer Science,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",BS,NC,M,36,+9710528636940,1,ON,67.06,No,Y,96.81,Y,94.72,84.12,92,2022-06-01
82,American University in Dubai,BS in Law,202502,Advanced Mathematics,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",PhD,NC,M,29,+9710544908445,85,ON,62.57,Yes,Y,59.81,Y,91.79,72.66,67,2021-05-29
79,University of Sharjah,MA in Electrical Engineering,202402,Database Systems,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",CRT,NC,M,21,+9710563133583,63,ON,61.87,No,Y,53.79,Y,63.9,71.96,87,2020-12-01
83,British University in Dubai,MA in Law,202503,Physics I,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",MBA,NC,M,17,+9710509380447,61,ON,83.28,Yes,Y,75.12,Y,53.71,68.06,64,2025-01-08
77,Khalifa University,MA in Psychology,202502,Project Management,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",CRT,NC,M,50,+9710505992373,16,ON,88.84,Yes,Y,91.81,Y,64.7,95.93,48,2020-12-26
77,Khalifa University,MS in Pharmacy,202502,Organic Chemistry,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",CRT,NC,M,75,+9710502715196,80,ON,64.09,No,Y,86.55,Y,95.18,63.55,20,2025-12-13
84,Dubai Medical College,DIP in Architecture,202503,Introduction to Computer Science,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",BS,NC,M,46,+9710549835433,96,ON,99.54,Yes,Y,57.99,Y,84.11,69.51,13,2020-01-08
82,American University in Dubai,MBA in English Literature,202401,Business Ethics,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",DIP,NC,M,45,+9710547125600,95,ON,93.23,No,Y,92.01,Y,81.76,89.05,85,2024-03-03
76,Zayed University,PhD in Nursing,202401,Data Structures,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",DIP,NC,M,77,+9710557519949,60,ON,93.46,Yes,Y,85.62,Y,54.85,98.16,63,2024-08-29
79,University of Sharjah,CRT in Psychology,202401,Marketing Management,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",MA,NC,M,43,+9710562110610,82,ON,83.5,No,Y,72.09,Y,96.14,68.0,22,2024-10-13
81,Ajman University,BS in Computer Science,202401,Physics I,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",CRT,NC,M,17,+9710509049521,85,ON,86.48,No,Y,99.03,Y,80.68,63.22,48,2025-05-15
75,United Arab Emirates University,MS in History,202502,Machine Learning,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",MA,NC,M,40,+9710548379661,23,ON,71.31,No,Y,61.38,Y,84.5,71.83,78,2025-03-02
78,American University of Sharjah,MA in Architecture,202502,Marketing Management,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",DIP,NC,M,87,+9710569958385,79,ON,80.46,Yes,Y,64.7,Y,63.29,62.43,49,2024-02-23
81,Ajman University,PhD in Electrical Engineering,202503,Organic Chemistry,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",MA,NC,M,53,+9710551346287,19,ON,98.58,No,Y,80.57,Y,60.35,83.69,100,2025-09-16
77,Khalifa University,MS in Accounting,202403,Network Security,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",PhD,NC,M,26,+9710529101657,81,ON,73.43,Yes,Y,57.97,Y,52.54,78.65,74,2021-05-01
82,American University in Dubai,BA in Psychology,202403,Data Structures,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",MS,NC,M,23,+9710581710340,26,ON,81.94,Yes,Y,67.8,Y,64.27,98.16,2,2020-04-05
82,American University in Dubai,CRT in Finance,202403,Physics I,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",MS,NC,M,77,+9710567044465,93,ON,68.32,Yes,Y,85.43,Y,65.89,60.05,85,2021-06-13
78,American University of Sharjah,CRT in Physics,202402,Corporate Finance,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",MA,NC,M,77,+9710555203116,3,ON,69.75,Yes,Y,51.24,Y,59.67,87.86,14,2020-06-07
79,University of Sharjah,BS in Sociology,202502,Engineering Mechanics,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",MA,NC,M,37,+9710525562879,76,ON,89.69,Yes,Y,75.51,Y,57.95,90.54,46,2024-01-09
80,Abu Dhabi University,BA in Biology,202403,Project Management,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",BA,NC,M,82,+9710558100600,36,ON,99.99,Yes,Y,96.82,Y,60.01,75.88,58,2024-05-24
77,Khalifa University,BA in Arabic Studies,202502,Machine Learning,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",DIP,NC,M,40,+9710586218557,96,ON,73.65,Yes,Y,70.92,Y,52.63,85.54,66,2020-06-11
81,Ajman University,MS in Chemistry,202403,Machine Learning,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",PhD,NC,M,57,+9710508001398,55,ON,65.69,No,Y,94.63,Y,82.18,73.34,25,2021-08-30
84,Dubai Medical College,MA in Business Administration,202501,Database Systems,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",PhD,NC,M,100,+9710584912323,97,ON,91.89,No,Y,62.46,Y,77.65,90.01,72,2021-03-14
75,United Arab Emirates University,MBA in Finance,202401,Introduction to Computer Science,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",MA,NC,M,83,+9710503045747,21,ON,71.38,Yes,Y,61.76,Y,54.36,72.66,17,2021-10-15
80,Abu Dhabi University,MS in Psychology,202501,Engineering Mechanics,CS101,glen@microsoft.com,"This course explores the concepts, trends, and practices in psychological counseling, covering sub-topics such as its nature, foundations, psychological theories, the role of the counselor, and the various methods used in psychological counseling. Additionally, it aims to delineate the skills essential for psychological counseling and the factors that may influence it. Furthermore, the course seeks to establish connections between this field and other sciences",MA,NC,M,25,+9710556291923,96,ON,74.17,No,Y,77.44,Y,82.66,97.97,66,2023-07-15
