MC_Enroll_Institution_Code,MC_Enroll_Institution_Name,MC_Enroll_Academic_Period,MC_Enroll_Student_ID,MC_Enroll_Emirates_ID,MC_Enroll_Missing_EID,MC_Enroll_Student_Name_English,MC_Enroll_Student_Name_Arabic,MC_Enroll_Gender,MC_Enroll_Student_DOB,MC_Enroll_Student_Email_Address,MC_Enroll_Student_Mobile_Number,MC_Enroll_Health_Fitness_Certificate,MC_Enroll_Special_Needs,MC_Enroll_Nationality,MC_Enroll_Home_Emirate,MC_Enroll_Student_Campus,MC_Enroll_Student_Type,MC_Enroll_1st_Academic_Period,MC_Enroll_Student_Level,MC_Enroll_Student_Degree,MC_Enroll_Program_Code,MC_Enroll_Mode_of_Study,MC_Enroll_Employment_Status,MC_Enroll_Employment_Sector,MC_Enroll_Employment_Position,MC_Enroll_Required_Academic_Period,MC_Enroll_Required_Credits_Graduation,MC_Enroll_Current_Registered_Credits,MC_Enroll_Total_Credits_Registered,MC_Enroll_Total_Credits_Cumulated,MC_Enroll_GPA_Cumulative,Last_Updated
84,Dubai Medical College,202503,STU202436629,784200411806705,Visiting,Latifa Al Mehairbi,عائشة سالم,F,2003-03-27,aisha.al.nuaimi729@institution.ac.ae,+9710566202534,Y,VI,IQ,Ajman,DB,Full-time,202503,MC,BS,76.MC.1,FT,Active,Private,Assistant Engineer,202503,12,44,322,353,4.0,2025-03-01
78,American University of Sharjah,202401,STU202456851,784199215361483,Visiting,Saeed Al Shamsi,شما سلطان,M,1987-08-23,hessa.al.shamsi398@institution.ac.ae,+9710556529615,Y,VI,CA,Ajman,DB,Part-time,202401,MC,BA,76.MC.1,FT,Inactive,Private,Assistant Engineer,202401,38,21,293,42,2.93,2020-09-09
83,British University in Dubai,202503,STU202348628,784200014829593,Visiting,Ali Al Shamsi,علي خالد,F,1991-07-02,maryam.al.dhaheri941@institution.ac.ae,+9710525537550,Y,VI,SA,Fujairah,DB,Online,202503,MC,BS,76.MC.1,FT,In Progress,Private,Assistant Engineer,202503,27,42,109,224,2.81,2022-06-22
79,University of Sharjah,202401,STU202266813,784199639447985,Visiting,Majid Al Zaabi,محمد حسن,M,2001-09-27,maitha.al.mansoori996@institution.ac.ae,+9710566530699,Y,VI,CA,Abu Dhabi,DB,Online,202401,MC,MA,76.MC.1,FT,Active,Private,Assistant Engineer,202401,94,57,298,293,2.56,2023-08-30
83,British University in Dubai,202502,STU202146015,784200477791178,Visiting,Omar Patel,عائشة سالم,M,1994-07-20,ali.al.junaibi966@institution.ac.ae,+9710527186824,Y,VI,BH,Abu Dhabi,DB,Online,202502,MC,MA,76.MC.1,FT,Completed,Private,Assistant Engineer,202502,93,71,375,299,3.18,2023-01-19
82,American University in Dubai,202401,STU202065031,784199041276175,Visiting,Shamma Al Shamsi,أحمد محمد,M,1979-03-22,majid.khan334@institution.ac.ae,+9710585340960,Y,VI,IN,Dubai,DB,Online,202401,MC,MA,76.MC.1,FT,Completed,Private,Assistant Engineer,202401,17,17,302,302,3.43,2021-10-11
79,University of Sharjah,202402,STU202130377,784199139960464,Visiting,Maitha Ahmed,مريم أحمد,F,1991-09-26,salem.singh101@institution.ac.ae,+9710555770639,Y,VI,SA,Ajman,DB,Full-time,202402,MC,BS,76.MC.1,FT,Active,Private,Assistant Engineer,202402,81,39,483,148,2.06,2023-11-16
82,American University in Dubai,202403,STU202581904,784199945941784,Visiting,Mohammed Ahmed,نورة سعيد,M,1982-09-22,hamad.al.zaabi118@institution.ac.ae,+9710521986534,Y,VI,LB,Fujairah,DB,Full-time,202403,MC,DIP,76.MC.1,FT,Completed,Private,Assistant Engineer,202403,52,80,49,332,3.65,2020-03-31
78,American University of Sharjah,202402,STU202575448,784199168168388,Visiting,Salem Hassan,عائشة سالم,M,1996-09-03,sara.patel422@institution.ac.ae,+9710582253646,Y,VI,GB,Sharjah,DB,Part-time,202402,MC,PhD,76.MC.1,FT,Pending,Private,Assistant Engineer,202402,8,66,333,59,3.28,2020-11-30
83,British University in Dubai,202501,STU202027253,784200020485674,Visiting,Ahmed Khan,عائشة سالم,M,1996-02-03,maitha.patel991@institution.ac.ae,+9710555691893,Y,VI,BD,Dubai,DB,Full-time,202501,MC,PhD,76.MC.1,FT,Completed,Private,Assistant Engineer,202501,62,28,42,245,3.54,2023-02-04
82,American University in Dubai,202403,STU202368211,784199710292739,Visiting,Shamma Al Shamsi,أحمد محمد,F,1970-04-18,noor.singh722@institution.ac.ae,+9710544289447,Y,VI,AE,Ras Al Khaimah,DB,Part-time,202403,MC,MBA,76.MC.1,FT,In Progress,Private,Assistant Engineer,202403,58,59,108,88,3.87,2025-01-01
