Grad_Institution_Code,Grad_Institution_Name,Grad_Academic_Period,Grad_Student_ID,Grad_Al_Ethbara,Grad_Emirates_ID,Grad_Missing_EID,Grad_Passport_Number,Grad_Student_Name_English,Grad_Student_Name_Arabic,Grad_Gender,Grad_Student_DOB,Grad_Student_Email_Address,Grad_Student_Mobile_Number,Grad_Health_Fitness_Certificate,Grad_Marital_Status_Code,Grad_Nationality,Grad_Nationality_of_Mother,Grad_Home_Emirate,Grad_Student_Campus,Grad_1st_Academic_Period,Grad_Student_Degree,Grad_Area_of_Specialization,Grad_Student_Major,Grad_Major_CIP,Grad_Minor,Grad_Program_Code,Grad_Mode_of_Study,Grad_Master_Thesis_Title,Grad_PhD_Dissertation_Title,Grad_Total_Credits_Cumulated,Grad_GPA_Cumulative,Grad_Total_Academic_Periods_Regular,Grad_Total_Academic_Periods_Supplementary,Grad_Submission_Term,Grad_LC,Grad_Workplacement,Last_Updated
82,American University in Dubai,202403,STU202493359,100278,784200257087997,Marsoom,N94592896,Sheikha Ahmed,علي خالد,M,1985-03-16,sara.al.kaabi849@institution.ac.ae,+9710508306237,Y,Completed,YE,SY,Fujairah,AD,202403,MA,26,Software Development,27,Architecture,1.DR.10001,FT,Principles of Pharmacy,Applied Arabic Studies,452,2.92,202403,202403,202403,Y,Y,2023-03-27
81,Ajman University,202403,STU202311497,100278,784199324336405,Marsoom,N94592896,Abdullah Al Mazrouei,خالد راشد,M,2002-02-16,ali.singh568@institution.ac.ae,+9710565394622,Y,Active,SA,KW,Abu Dhabi,AD,202403,DIP,03,Software Development,15,Architecture,1.DR.10001,FT,Introduction to Biology,Principles of Islamic Studies,222,2.67,202403,202403,202403,Y,Y,2025-02-28
81,Ajman University,202501,STU202031677,100278,784199489153821,Marsoom,N94592896,Saeed Al Mazrouei,خالد راشد,F,1997-12-17,shamma.hassan571@institution.ac.ae,+9710569066709,Y,Pending,PS,GB,Ajman,AD,202501,DIP,13,Software Development,03,Architecture,1.DR.10001,FT,Principles of Law,Principles of Mathematics,455,2.33,202501,202501,202403,Y,Y,2025-02-16
83,British University in Dubai,202403,STU202294901,100278,784199697151801,Marsoom,N94592896,Latifa Al Falasi,أحمد محمد,F,1994-11-08,rashid.al.nuaimi48@institution.ac.ae,+9710528720121,Y,Completed,US,PK,Sharjah,AD,202403,MBA,24,Software Development,52,Architecture,1.DR.10001,FT,Principles of Accounting,Advanced Mathematics,408,2.97,202403,202403,202403,Y,Y,2025-05-18
78,American University of Sharjah,202401,STU202394154,100278,784199125423299,Marsoom,N94592896,Noura Khan,حسن عبدالله,M,1973-12-31,hessa.al.mehairbi105@institution.ac.ae,+9710564217872,Y,Pending,GB,OM,Umm Al Quwain,AD,202401,DIP,03,Software Development,40,Architecture,1.DR.10001,FT,Applied Pharmacy,Introduction to Medicine,283,3.17,202401,202401,202403,Y,Y,2020-07-17
77,Khalifa University,202501,STU202191339,100278,784200512984131,Marsoom,N94592896,Ahmed Al Zaabi,علي خالد,F,1989-05-23,khalid.al.zaabi377@institution.ac.ae,+9710554563357,Y,Inactive,IQ,JO,Ras Al Khaimah,AD,202501,MS,50,Software Development,40,Architecture,1.DR.10001,FT,Principles of Arabic Studies,Applied Nursing,313,3.75,202501,202501,202403,Y,Y,2025-04-07
80,Abu Dhabi University,202502,STU202052311,100278,784199337357656,Marsoom,N94592896,Aisha Khan,شما سلطان,M,1975-04-25,maryam.al.junaibi407@institution.ac.ae,+9710588436033,Y,Inactive,QA,YE,Abu Dhabi,AD,202502,MS,52,Software Development,09,Architecture,1.DR.10001,FT,Principles of Chemistry,Applied Physics,356,3.83,202502,202502,202403,Y,Y,2024-12-22
80,Abu Dhabi University,202503,STU202442694,100278,784199898662108,Marsoom,N94592896,Mohammed Khan,محمد حسن,M,1989-12-27,omar.al.nuaimi539@institution.ac.ae,+9710524925919,Y,Inactive,EG,AE,Umm Al Quwain,AD,202503,BA,54,Software Development,52,Architecture,1.DR.10001,FT,Applied Mechanical Engineering,Advanced Marketing,316,3.7,202503,202503,202403,Y,Y,2023-08-17
83,British University in Dubai,202402,STU202349700,100278,784199455322016,Marsoom,N94592896,Noura Al Kaabi,فاطمة علي,M,1997-03-22,mohammed.al.mansoori184@institution.ac.ae,+9710585661193,Y,Active,GB,YE,Ras Al Khaimah,AD,202402,BA,54,Software Development,26,Architecture,1.DR.10001,FT,Introduction to Islamic Studies,Introduction to Psychology,225,2.76,202402,202402,202403,Y,Y,2025-06-29
77,Khalifa University,202503,STU202511613,100278,784199540472786,Marsoom,N94592896,Khalid Al Mazrouei,مريم أحمد,F,1986-11-11,abdullah.al.shamsi586@institution.ac.ae,+9710541016414,Y,Completed,US,OM,Fujairah,AD,202503,DIP,23,Software Development,24,Architecture,1.DR.10001,FT,Advanced Accounting,Advanced Mathematics,308,3.75,202503,202503,202403,Y,Y,2022-04-08
