Institution_Code,Institution_Name,RI_Fiscal_Year,RI_Unit_ID,RI_Unit_Name,RI_Unit_Type,RI_Unit_Year,RI_Unit_FORD,RI_Unit_Priority,Unit_Description,Annual_expenditure,Funding_Source,Collaborating_Entities,Unit_City,Unit_Head,Contact_Email,Contact_Phone,Contact_Email,Contact_Phone,Contact_Website,Last_Updated
81,Ajman University,2024,RC1023,Sara Patel,Full-time,2024,"2.1, 3.5, 5.3",E0,This is a detailed description of the program focusing on innovation.,39,"G, HEI","Ministry of Artificial Intelligence, Borouge",Fujairah,Dr. Ahmed Al Mansoori,maryam.al.junaibi807@institution.ac.ae,+9710559126988,maryam.al.junaibi807@institution.ac.ae,+9710559126988,+9710558121674,2023-02-28
81,Ajman University,2024,RC1023,Aisha Al Mehairbi,Online,2025,"2.1, 3.5, 5.3",E0,This is a detailed description of the program focusing on quality.,86,"G, HEI","Ministry of Artificial Intelligence, Borouge",Ras Al Khaimah,Dr. Ahmed Al Mansoori,hessa.al.dhaheri765@institution.ac.ae,+9710509835248,hessa.al.dhaheri765@institution.ac.ae,+9710509835248,+9710508458589,2025-11-15
75,United Arab Emirates University,2024,RC1023,Hassan Al Falasi,Part-time,2025,"2.1, 3.5, 5.3",E0,This is a detailed description of the project focusing on quality.,62,"G, HEI","Ministry of Artificial Intelligence, Borouge",Ras Al Khaimah,Dr. Ahmed Al Mansoori,aisha.al.falasi662@institution.ac.ae,+9710504122284,aisha.al.falasi662@institution.ac.ae,+9710504122284,+9710522650717,2023-10-21
83,British University in Dubai,2026,RC1023,Khalid Al Falasi,Part-time,2024,"2.1, 3.5, 5.3",E0,This is a detailed description of the course focusing on quality.,49,"G, HEI","Ministry of Artificial Intelligence, Borouge",Abu Dhabi,Dr. Ahmed Al Mansoori,maryam.singh428@institution.ac.ae,+9710541082898,maryam.singh428@institution.ac.ae,+9710541082898,+9710553772406,2020-06-22
84,Dubai Medical College,2024,RC1023,Majid Khan,Part-time,2024,"2.1, 3.5, 5.3",E0,This is a detailed description of the program focusing on quality.,37,"G, HEI","Ministry of Artificial Intelligence, Borouge",Ras Al Khaimah,Dr. Ahmed Al Mansoori,amna.al.kaabi42@institution.ac.ae,+9710581775354,amna.al.kaabi42@institution.ac.ae,+9710581775354,+9710545524105,2022-09-06
83,British University in Dubai,2025,RC1023,Ahmed Al Junaibi,Full-time,2024,"2.1, 3.5, 5.3",E0,This is a detailed description of the research focusing on development.,51,"G, HEI","Ministry of Artificial Intelligence, Borouge",Sharjah,Dr. Ahmed Al Mansoori,maryam.khan453@institution.ac.ae,+9710557386975,maryam.khan453@institution.ac.ae,+9710557386975,+9710502295809,2023-07-21
81,Ajman University,2026,RC1023,Mohammed Patel,Online,2025,"2.1, 3.5, 5.3",E0,This is a detailed description of the project focusing on quality.,51,"G, HEI","Ministry of Artificial Intelligence, Borouge",Ajman,Dr. Ahmed Al Mansoori,hessa.al.junaibi105@institution.ac.ae,+9710501884711,hessa.al.junaibi105@institution.ac.ae,+9710501884711,+9710562389835,2025-08-23
80,Abu Dhabi University,2025,RC1023,Maitha Khan,Full-time,2024,"2.1, 3.5, 5.3",E0,This is a detailed description of the program focusing on quality.,60,"G, HEI","Ministry of Artificial Intelligence, Borouge",Umm Al Quwain,Dr. Ahmed Al Mansoori,aisha.khan104@institution.ac.ae,+9710561892540,aisha.khan104@institution.ac.ae,+9710561892540,+9710581673934,2023-07-21
83,British University in Dubai,2024,RC1023,Hessa Al Dhaheri,Part-time,2024,"2.1, 3.5, 5.3",E0,This is a detailed description of the research focusing on innovation.,19,"G, HEI","Ministry of Artificial Intelligence, Borouge",Umm Al Quwain,Dr. Ahmed Al Mansoori,aisha.hassan160@institution.ac.ae,+9710501535294,aisha.hassan160@institution.ac.ae,+9710501535294,+9710561848856,2025-11-24
77,Khalifa University,2024,RC1023,Ali Al Junaibi,Online,2024,"2.1, 3.5, 5.3",E0,This is a detailed description of the program focusing on development.,51,"G, HEI","Ministry of Artificial Intelligence, Borouge",Sharjah,Dr. Ahmed Al Mansoori,fatima.al.dhaheri395@institution.ac.ae,+9710558467463,fatima.al.dhaheri395@institution.ac.ae,+9710558467463,+9710501347143,2020-02-28
